Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
29-04-2010,35.4,35.6,34.55,35.25,35.30737426,58772,79,2075085,38869,66.14,1.05,-0.15
28-04-2010,35.5,36.7,33.9,34.55,35.14795859,94175,111,3310059,75561,80.23,2.8,-0.95
27-04-2010,38,38,34.8,35.65,35.88710059,84624,185,3036910,72116,85.22,3.2,-2.35
26-04-2010,39.4,39.4,35,35.7,36.74955126,125351,146,4606593,114809,91.59,4.4,-3.7
23-04-2010,37.5,37.85,36.7,37,37.31129757,117990,147,4402360,117341,99.45,1.15,-0.5
22-04-2010,38.85,38.85,36,36.7,37.18919574,37152,86,1381653,33992,91.49,2.85,-2.15
21-04-2010,37.9,38.4,36.15,37.4,37.70511199,210368,227,7931949,158161,75.18,2.25,-0.5
20-04-2010,39.3,39.35,36,36.85,37.6498282,245925,163,9259034,150817,61.33,3.35,-2.45
19-04-2010,38.4,38.8,37,37.85,37.91839717,132765,167,5034236,121089,91.21,1.8,-0.55
16-04-2010,39.8,39.85,38.3,38.75,38.83866724,86647,96,3365254,70322,81.16,1.55,-1.05
15-04-2010,38.7,39.35,37.35,38.85,39.01020303,184847,215,7210919,137111,74.18,2,0.15
13-04-2010,38.95,39,38,38,38.53806734,155133,241,5978526,120526,77.69,1,-0.95
12-04-2010,39.75,39.75,37.4,38.5,38.43175824,227859,296,8757022,191179,83.9,2.35,-1.25
09-04-2010,38.9,39.8,36.65,38.65,39.28330372,106377,200,4178840,104494,98.23,3.15,-0.25
08-04-2010,40.35,40.4,36.5,39.05,38.74608274,73457,255,2846171,63344,86.23,3.9,-1.3
07-04-2010,40.45,42.8,39.35,40.3,40.28100808,131498,178,5296872,90105,68.52,3.45,-0.15
06-04-2010,33.5,41,30.55,39.7,37.947619,198698,386,7540116,127672,64.25,10.45,6.2
05-04-2010,41.1,42,35,37,39.71220353,138042,361,5481952,103469,74.95,7,-4.1
01-04-2010,34,41.9,33.5,40.85,39.64281173,102229,524,4052645,25570,25.01,8.4,6.85
31-03-2010,35.65,38,29.45,34.95,35.8352313,132774,254,4757987,72163,54.35,8.55,-0.7
30-03-2010,36.5,38,34.1,36.8,36.77298473,106636,120,3921324,66682,62.53,3.9,0.3
29-03-2010,33.55,38,33.45,34,34.59154757,57096,151,1975039,41525,72.73,4.55,0.45
26-03-2010,40.9,40.95,35.3,36.65,38.26840326,89332,270,3418593,78567,87.95,5.65,-4.25
25-03-2010,39.7,40.4,38,39.05,39.53527476,142850,140,5647614,109852,76.9,2.4,-0.65
23-03-2010,34.3,41.9,34.3,38.9,38.77513459,125564,349,4868761,91423,72.81,7.6,4.6
22-03-2010,37.25,37.95,29.85,36.15,36.19268951,109295,341,3955680,92952,85.05,8.1,-1.1
19-03-2010,33.6,38.95,33.6,37.3,37.62991167,109255,96,4111256,91656,83.89,5.35,3.7
18-03-2010,39.55,39.55,37.55,38.15,38.68926084,132217,206,5115378,110849,83.84,2,-1.4
17-03-2010,41.5,41.5,38,38.15,38.94018692,63130,157,2458294,49536,78.47,3.5,-3.35
16-03-2010,40,40.9,39.2,40.1,40.16271474,83588,179,3357121,59537,71.23,1.7,0.1
15-03-2010,38.9,40.15,38,39.9,39.46934026,81214,202,3205463,68526,84.38,2.15,1
12-03-2010,41.8,41.8,38.3,39.35,40.02561214,70123,245,2806716,52950,75.51,3.5,-2.45
11-03-2010,37.5,40,37.5,38.85,38.89097849,150374,188,5848192,132074,87.83,2.5,1.35
10-03-2010,43.9,44.6,38.2,39.05,40.07601015,135574,331,5433265,113701,83.87,6.4,-4.85
09-03-2010,38.15,40,37.6,38.55,38.60812741,107808,137,4162265,81991,76.05,2.4,0.4
08-03-2010,39.05,40.45,38.25,38.75,38.92753197,146161,286,5689687,118595,81.14,2.2,-0.3
05-03-2010,40.65,40.7,38.85,39.95,39.72315775,127141,192,5050442,104057,81.84,1.85,-0.7
04-03-2010,35.05,40,35.05,38.8,39.72941435,104806,66,4163881,76365,72.86,4.95,3.75
03-03-2010,40.35,40.35,38,38.6,39.26243018,36524,67,1434021,35482,97.15,2.35,-1.75
02-03-2010,37,43.85,37,39.85,40.65656588,45706,146,1858249,44116,96.52,6.85,2.85
26-02-2010,44.8,44.8,37.5,40,40.71844088,56006,152,2280477,54621,97.53,7.3,-4.8
25-02-2010,46.35,46.35,40.15,41.05,41.78620011,24406,143,1019834,19040,78.01,6.2,-5.3
24-02-2010,40.05,43.95,40,42.2,42.25735864,101955,287,4308349,96125,94.28,3.95,2.15
23-02-2010,42.9,43.9,40.2,42.25,42.26077179,72481,301,3063103,55661,76.79,3.7,-0.65
22-02-2010,40,44,40,43.4,42.96806265,52102,276,2238722,46219,88.71,4,3.4
19-02-2010,41.75,44.3,38.75,41.5,39.95207096,83874,158,3350940,78928,94.1,5.55,-0.25
18-02-2010,42.8,43,40,40.3,41.64279432,55713,271,2320045,50295,90.28,3,-2.5
17-02-2010,43.5,44.95,42.35,42.9,43.18783352,120495,366,5203918,87282,72.44,2.6,-0.6
16-02-2010,44.6,44.6,42.25,44.4,44.01677096,174826,362,7695276,140372,80.29,2.35,-0.2
15-02-2010,45,45.6,42.55,43.9,44.36785299,120540,408,5348101,104506,86.7,3.05,-1.1
11-02-2010,52.45,52.45,43.5,44,47.09692885,87394,373,4115989,63101,72.2,8.95,-8.45
10-02-2010,50.5,50.5,47,48,48.61240435,92919,390,4517016,68326,73.53,3.5,-2.5
09-02-2010,52.95,52.95,46.1,49.35,49.74470565,133822,407,6656936,96307,71.97,6.85,-3.6
08-02-2010,54.9,54.9,47.55,49.15,49.44245734,84042,347,4155243,64523,76.77,7.35,-5.75
